macro_domain,subdomain,micro_domain,audience_hint,problem_hint,format_hint,risk_level,priority,language,country,notes
pflege,pflege_grundlagen,Pflege Grundlagen für Anfaenger,anfaenger,zeit sparen und effizienter arbeiten,arbeitsbuch,low,50,de,DE,micro domain #1
pflege,pflege_grundlagen,Pflege Grundlagen für Einsteiger,einsteiger,ueberblick behalten und struktur schaffen,ratgeber,low,51,de,DE,micro domain #2
pflege,pflege_grundlagen,Pflege Grundlagen für Fortgeschrittene,fortgeschrittene,fehler vermeiden und qualitaet sichern,checkliste,low,52,de,DE,micro domain #3
pflege,pflege_grundlagen,Pflege Grundlagen für Senioren,senioren,kosten senken und budget einhalten,planer,low,53,de,DE,micro domain #4
pflege,pflege_grundlagen,Pflege Grundlagen für Eltern,eltern,motivation finden und dranbleiben,tagebuch,low,54,de,DE,micro domain #5
pflege,pflege_grundlagen,Pflege Grundlagen für Alleinerziehende,alleinerziehende,richtige methode erlernen,trainingsjournal,low,50,de,DE,micro domain #6
pflege,pflege_grundlagen,Pflege Grundlagen für Berufseinsteiger,berufseinsteiger,alltag vereinfachen und routine aufbauen,workbook,low,51,de,DE,micro domain #7
pflege,pflege_grundlagen,Pflege Grundlagen für Selbststaendige,selbststaendige,sicherer im umgang werden,leitfaden,low,52,de,DE,micro domain #8
pflege,pflege_grundlagen,Pflege Grundlagen für Freelancer,freelancer,besser verstehen und anwenden,praxisbuch,low,53,de,DE,micro domain #9
pflege,pflege_grundlagen,Pflege Grundlagen für Kleinunternehmer,kleinunternehmer,ergebnisse verbessern und optimieren,vorlagenbuch,low,54,de,DE,micro domain #10
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Einsteiger,einsteiger,zeit sparen und effizienter arbeiten,ratgeber,low,51,de,DE,micro domain #11
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Fortgeschrittene,fortgeschrittene,ueberblick behalten und struktur schaffen,checkliste,low,52,de,DE,micro domain #12
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Senioren,senioren,fehler vermeiden und qualitaet sichern,planer,low,53,de,DE,micro domain #13
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Eltern,eltern,kosten senken und budget einhalten,tagebuch,low,54,de,DE,micro domain #14
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Alleinerziehende,alleinerziehende,motivation finden und dranbleiben,trainingsjournal,low,55,de,DE,micro domain #15
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Berufseinsteiger,berufseinsteiger,richtige methode erlernen,workbook,low,51,de,DE,micro domain #16
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Selbststaendige,selbststaendige,alltag vereinfachen und routine aufbauen,leitfaden,low,52,de,DE,micro domain #17
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Freelancer,freelancer,sicherer im umgang werden,praxisbuch,low,53,de,DE,micro domain #18
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Kleinunternehmer,kleinunternehmer,besser verstehen und anwenden,vorlagenbuch,low,54,de,DE,micro domain #19
pflege,pflege_fortgeschritten,Pflege Fortgeschritten für Studenten,studenten,ergebnisse verbessern und optimieren,arbeitsbuch,low,55,de,DE,micro domain #20
pflege,pflege_organisation,Pflege Organisation für Fortgeschrittene,fortgeschrittene,zeit sparen und effizienter arbeiten,checkliste,low,52,de,DE,micro domain #21
pflege,pflege_organisation,Pflege Organisation für Senioren,senioren,ueberblick behalten und struktur schaffen,planer,low,53,de,DE,micro domain #22
pflege,pflege_organisation,Pflege Organisation für Eltern,eltern,fehler vermeiden und qualitaet sichern,tagebuch,low,54,de,DE,micro domain #23
pflege,pflege_organisation,Pflege Organisation für Alleinerziehende,alleinerziehende,kosten senken und budget einhalten,trainingsjournal,low,55,de,DE,micro domain #24
pflege,pflege_organisation,Pflege Organisation für Berufseinsteiger,berufseinsteiger,motivation finden und dranbleiben,workbook,low,56,de,DE,micro domain #25
pflege,pflege_organisation,Pflege Organisation für Selbststaendige,selbststaendige,richtige methode erlernen,leitfaden,low,52,de,DE,micro domain #26
pflege,pflege_organisation,Pflege Organisation für Freelancer,freelancer,alltag vereinfachen und routine aufbauen,praxisbuch,low,53,de,DE,micro domain #27
pflege,pflege_organisation,Pflege Organisation für Kleinunternehmer,kleinunternehmer,sicherer im umgang werden,vorlagenbuch,low,54,de,DE,micro domain #28
pflege,pflege_organisation,Pflege Organisation für Studenten,studenten,besser verstehen und anwenden,arbeitsbuch,low,55,de,DE,micro domain #29
pflege,pflege_organisation,Pflege Organisation für Schueler,schueler,ergebnisse verbessern und optimieren,ratgeber,low,56,de,DE,micro domain #30
