keyword,risk_category,reason,auto_promote_allowed
diagnose,high,health_sensitive,False
therapieplan,high,health_sensitive,False
medikament,high,health_sensitive,False
antidepressiva,high,health_sensitive,False
insulin,high,health_sensitive,False
blutverdünner,high,health_sensitive,False
opioide,restricted,substance_related,False
schmerzmittel,high,health_sensitive,False
patientenverfügung,high,legal_sensitive,False
vorsorgevollmacht,high,legal_sensitive,False
testament,high,legal_sensitive,False
steuerbescheid,high,legal_sensitive,False
einspruch,high,legal_sensitive,False
ETF,high,financial_sensitive,False
krypto,high,financial_sensitive,False
trading,high,financial_sensitive,False
sucht,high,health_sensitive,False
selbstverletzung,blocked,unsafe_content,False
psychotherapie,high,health_sensitive,False
trauma,high,health_sensitive,False
magersucht,high,health_sensitive,False
bulimie,high,health_sensitive,False
alkoholismus,high,health_sensitive,False
spielsucht,high,health_sensitive,False
zwangsstörung,high,health_sensitive,False
bipolare störung,high,health_sensitive,False
schizophrenie,high,health_sensitive,False
ptbs,high,health_sensitive,False
borderline,high,health_sensitive,False
essstörung,high,health_sensitive,False
krebs,high,health_sensitive,False
tumor,high,health_sensitive,False
hiv,high,health_sensitive,False
hepatitis,high,health_sensitive,False
impfschaden,high,health_sensitive,False
medikamentenwechselwirkung,high,health_sensitive,False
anwalt,high,legal_sensitive,False
gericht,high,legal_sensitive,False
klage,high,legal_sensitive,False
strafverfahren,high,legal_sensitive,False
